album, song, text
SOUR, traitor, "Guess you didn't cheat, but you're still a traitor"
SOUR, traitor, ""
SOUR, traitor, "Now you bring her around just to shut me down"
SOUR, traitor, "Show her off like she's a new trophy"
SOUR, traitor, "And I know if you were true, there's no damn way that you"
SOUR, traitor, "Could fall in love with somebody that quickly"
SOUR, traitor, ""
SOUR, traitor, "And ain't it funny? All the twisted games"
SOUR, traitor, "All the questions you used to avoid"
SOUR, traitor, "Ain't it funny? Remember I brought her up"
SOUR, traitor, "And you told me I was paranoid?"
SOUR, traitor, ""
SOUR, traitor, "You betrayed me"
SOUR, traitor, "And I know that you'll never feel sorry"
SOUR, traitor, "For the way I hurt, yeah"
SOUR, traitor, "You talked to her when we were together"
SOUR, traitor, "Loved you at your worst, but that didn't matter"
SOUR, traitor, "It took you two weeks to go off and date her"
SOUR, traitor, "Guess you didn't cheat, but you're still a traitor"
SOUR, traitor, ""
SOUR, traitor, "(Ah-ah-ah)"
SOUR, traitor, "God, I wish that you had thought this through"
SOUR, traitor, "Before I went and fell in love with you"
SOUR, traitor, "(Ah-ah-ah)"
SOUR, traitor, "When she's sleepin' in the bed we made"
SOUR, traitor, "Don't you dare forget about the way"
SOUR, traitor, ""
SOUR, traitor, "You betrayed me"
SOUR, traitor, "'Cause I know that you'll never feel sorry"
SOUR, traitor, "For the way I hurt, yeah"
SOUR, traitor, "You talked to her when we were together"
SOUR, traitor, "You gave me your word, but that didn't matter"
SOUR, traitor, "It took you two weeks to go off and date her"
SOUR, traitor, "Guess you didn't cheat, but you're still, you're still a traitor"
SOUR, traitor, "(Ah-ah-ah)"
SOUR, traitor, "Yeah, you're still a traitor"
SOUR, traitor, ""
SOUR, traitor, "Ooh-ooh-ooh"
SOUR, traitor, "God, I wish that you had thought this through"
SOUR, traitor, "Before I went and fell in love with you"
SOUR, enough_for_you, "I wore make-up when we dated"
SOUR, enough_for_you, "'Cause I thought you'd like me more"
SOUR, enough_for_you, "If I looked like the other prom queens"
SOUR, enough_for_you, "I know that you loved before"
SOUR, enough_for_you, "Tried so hard to be everything that you like"
SOUR, enough_for_you, "Just for you to say you're not the compliment type"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "And I knew how you took your coffee"
SOUR, enough_for_you, "And your favourite songs by heart"
SOUR, enough_for_you, "I read all of your self-help books so you'd think that I was smart"
SOUR, enough_for_you, "Stupid, emotional, obsessive little me"
SOUR, enough_for_you, "I knew from the start this is exactly how you'd leave"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "You found someone more exciting"
SOUR, enough_for_you, "The next second, you were gone"
SOUR, enough_for_you, "And you left me there cryin', wonderin' what I did wrong"
SOUR, enough_for_you, "And you always say I'm never satisfied"
SOUR, enough_for_you, "But I don't think that's true"
SOUR, enough_for_you, "'Cause all I ever wanted was to be enough for you"
SOUR, enough_for_you, "Yeah all I ever wanted was to be enough for you"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "And maybe I'm just not as interesting as the girls you had before"
SOUR, enough_for_you, "But God, you couldn't have cared less about"
SOUR, enough_for_you, "Someone who loved you more"
SOUR, enough_for_you, "I'd say you broke my heart"
SOUR, enough_for_you, "But you broke much more than that"
SOUR, enough_for_you, "Now, I don't want your sympathy"
SOUR, enough_for_you, "I just want myself back before"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "You found someone more exciting"
SOUR, enough_for_you, "The next second, you were gone"
SOUR, enough_for_you, "And you left me there cryin', wonderin' what I did wrong"
SOUR, enough_for_you, "And you always say I'm never satisfied"
SOUR, enough_for_you, "But I don't think that's true"
SOUR, enough_for_you, "'Cause all I ever wanted was to be enough"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "Don't you think I loved you too much"
SOUR, enough_for_you, "To be used and discarded?"
SOUR, enough_for_you, "Don't you think I loved you too much"
SOUR, enough_for_you, "To think I deserve nothing?"
SOUR, enough_for_you, "But don't tell me you're sorry, boy"
SOUR, enough_for_you, "Feel sorry for yourself"
SOUR, enough_for_you, "'Cause someday, I'll be everything to somebody else"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "And they'll think that I'm so exciting"
SOUR, enough_for_you, "And you'll be the one who's cryin'"
SOUR, enough_for_you, "Yeah, you always say I'm never satisfied"
SOUR, enough_for_you, "But I don't think that's true"
SOUR, enough_for_you, "You say I'm never satisfied"
SOUR, enough_for_you, "But that's not me, it's you"
SOUR, enough_for_you, ""
SOUR, enough_for_you, "'Cause all I ever wanted was to be enough"
SOUR, enough_for_you, "But I don't think anything could ever be enough"
SOUR, enough_for_you, "For you"
SOUR, enough_for_you, "Enough for you"
SOUR, enough_for_you, "No, nothing's enough for you"
SOUR, enough_for_you, ""
SOUR, jealousy_jealousy, "I kinda wanna throw my phone across the room"
SOUR, jealousy_jealousy, "'Cause all I see are girls too good to be true"
SOUR, jealousy_jealousy, "With paper-white teeth and perfect bodies"
SOUR, jealousy_jealousy, "Wish I didn't care"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "I know their beauty's not my lack"
SOUR, jealousy_jealousy, "But it feels like that weight is on my back"
SOUR, jealousy_jealousy, "And I can't let it go"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "Com-comparison is killin' me slowly"
SOUR, jealousy_jealousy, "I think I think too much"
SOUR, jealousy_jealousy, "'Bout kids who don't know me"
SOUR, jealousy_jealousy, "I'm so sick of myself"
SOUR, jealousy_jealousy, "I'd rather be, rather be"
SOUR, jealousy_jealousy, "Anyone, anyone else"
SOUR, jealousy_jealousy, "My jealousy, jealousy started followin' me (He-he-he, he)"
SOUR, jealousy_jealousy, "Started followin' me (He-he-he, he)"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "And I see everyone gettin' all the things I want"
SOUR, jealousy_jealousy, "I'm happy for them, but then again, I'm not"
SOUR, jealousy_jealousy, "Just cool vintage clothes and vacation photos"
SOUR, jealousy_jealousy, "I can't stand it"
SOUR, jealousy_jealousy, "Oh God, I sound crazy"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "Their win is not my loss"
SOUR, jealousy_jealousy, "I know it's true, but"
SOUR, jealousy_jealousy, "I can't help gettin' caught up in it all"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "Com-comparison is killin' me slowly"
SOUR, jealousy_jealousy, "I think I think too much"
SOUR, jealousy_jealousy, "'Bout kids who don't know me"
SOUR, jealousy_jealousy, "I'm so sick of myself"
SOUR, jealousy_jealousy, "Rather be, rather be"
SOUR, jealousy_jealousy, "Anyone, anyone else"
SOUR, jealousy_jealousy, "My jealousy, jealousy (Yeah)"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "All your friends are so cool, you go out every night"
SOUR, jealousy_jealousy, "In your daddy's nice car, yeah, you're livin' the life"
SOUR, jealousy_jealousy, "Got a pretty face, a pretty boyfriend, too"
SOUR, jealousy_jealousy, "I wanna be you so bad and I don't even know you"
SOUR, jealousy_jealousy, "All I see is what I should be"
SOUR, jealousy_jealousy, "Happier, prettier, jealousy, jealousy"
SOUR, jealousy_jealousy, "All I see is what I should be"
SOUR, jealousy_jealousy, "I'm losin' it, all I get's jealousy, jealousy"
SOUR, jealousy_jealousy, ""
SOUR, jealousy_jealousy, "Com-comparison is killin' me slowly"
SOUR, jealousy_jealousy, "I think I think too much"
SOUR, jealousy_jealousy, "'Bout kids who don't know me"
SOUR, jealousy_jealousy, "And I'm so sick of myself"
SOUR, jealousy_jealousy, "Rather be, rather be (Oh, oh)"
SOUR, jealousy_jealousy, "Anyone, anyone else (Anybody else)"
SOUR, jealousy_jealousy, "Jealousy, jealousy"
SOUR, jealousy_jealousy, "Oh, I'm so sick of myself"
SOUR, jealousy_jealousy, "I'd rather be, rather be (Oh-oh-oh)"
SOUR, jealousy_jealousy, "Anyone, anyone else"
SOUR, jealousy_jealousy, "Jealousy, jealousy started followin' me"
GUTS, so_american, "Drivin' on the right-side road"
GUTS, so_american, "He says I'm pretty wearin' his clothes"
GUTS, so_american, "And he's got hands that make Hell seem cold"
GUTS, so_american, "Feet on the dashboard, he's like a poem I wish I wrote"
GUTS, so_american, "I wish I wrote"
GUTS, so_american, ""
